id;Estado;Densidade demográfica
1;Acre;3.70
2;Alagoas;101.30
3;Amapá;3.30
4;Amazonas;1.80
5;Bahia;23.20
6;Ceará;50.90
7;Distrito Federal;352.20
8;Espírito Santo;67.20
9;Goiás;14.70
10;Maranhão;17.00
11;Mato Grosso;2.80
12;Mato Grosso do Sul;5.80
13;Minas Gerais;30.50
14;Pará;5.00
15;Paraíba;61.10
16;Paraná;48.00
17;Pernambuco;80.30
18;Piauí;11.30
19;Rio de Janeiro;328.00
20;Rio Grande do Norte;52.20
21;Rio Grande do Sul;36.10
22;Rondônia;5.80
23;Roraima;1.50
24;Santa Catarina;56.10
25;São Paulo;149.00
26;Sergipe;81.10
27;Tocantins;4.20
